DateTime,Market1: Close,Market1: High,Market1: Low,Market1: Open,Market2: Close,Market2: High,Market2: Low,Market2: Open,Market2: Open_Interest,Market2: Volume,Market3: Close,Market3: High,Market3: Low,Market3: Open,Market3: Open_Interest,Market3: Volume,Market1: Direction,Market2: Direction,Market3: Direction
2016-12-16,256.1,258.25,253.9,258.0,5635.5,5751.0,5624.0,5733.5,372217.0,27677.0,46770.0,47300.0,46350.0,46480.0,494546.0,92482.0,0,0,1
2016-12-19,249.65,255.25,247.5,254.6,5496.0,5640.0,5459.0,5620.0,367005.0,51681.0,46200.0,46700.0,45700.0,46280.0,493534.0,88668.0,0,0,0
2016-12-20,249.95,249.85,248.1,249.4,5502.0,5534.0,5475.0,5497.5,357480.0,30338.0,45070.0,45680.0,44560.0,45650.0,490316.0,120832.0,1,1,0
2016-12-21,249.15,250.95,249.0,250.95,5515.0,5559.5,5498.0,5520.0,352153.0,22772.0,45270.0,45560.0,44920.0,45110.0,494108.0,84196.0,0,0,1
2016-12-22,249.45,250.3,245.5,249.05,5518.0,5532.0,5419.5,5507.0,352829.0,40970.0,44900.0,45440.0,44480.0,45290.0,508592.0,92470.0,1,1,0
2016-12-23,247.25,250.1,247.2,249.6,5469.0,5571.0,5464.0,5539.0,350471.0,20272.0,44910.0,45300.0,44230.0,44520.0,508656.0,117286.0,0,0,1
2016-12-26,257.4498802326545,263.2824038068047,252.211761909321,261.59393498353165,5699.3115395747145,5829.668041734784,5586.2926679607435,5793.2843993161505,350435.34519203403,31289.9879399019,44280.0,45210.0,43490.0,45000.0,512600.0,170606.0,0,0,0
2016-12-27,250.8,251.3,245.0,245.0,5552.099433231888,5564.350513766039,5426.557799245132,5425.793522016521,350434.8060633949,28821.61371370026,44440.0,44850.0,43960.0,44120.0,503292.0,131318.0,1,1,1
2016-12-28,249.5,252.25,249.4,252.25,5545.0,5596.0,5480.0,5560.5,346425.0,32805.0,45530.0,46020.0,44640.0,44640.0,498512.0,208248.0,0,0,1
2016-12-29,248.8,252.6,248.4,250.6,5487.0,5568.0,5477.0,5520.0,345141.0,21536.0,45570.0,45970.0,45160.0,45450.0,497916.0,213126.0,0,0,1
2016-12-30,250.55,251.9,248.75,248.8,5535.5,5550.0,5493.0,5495.5,342526.0,19619.0,45430.0,45760.0,45070.0,45650.0,480826.0,199464.0,1,1,0
2017-01-03,248.9,254.85,248.6,250.7,5500.0,5616.0,5480.5,5542.5,347443.0,39107.0,46040.0,46290.0,45630.0,45630.0,482612.0,183888.0,0,0,1
2017-01-04,255.65,256.3,247.25,248.8,5644.0,5645.0,5450.5,5492.0,347517.3488934557,46415.0,45360.0,45980.0,44810.0,45910.0,484042.0,290606.0,1,1,0
2017-01-05,253.75,258.85,253.05,255.7,5580.0,5698.0,5576.5,5640.0,345913.0,34079.0,45850.0,46170.0,45360.0,45400.0,492824.0,318430.0,0,0,1
2017-01-06,254.6,254.8,251.25,253.5,5590.0,5614.0,5536.5,5584.5,347430.0,27287.0,45430.0,45770.0,45090.0,45720.0,482652.0,252160.0,1,1,0
2017-01-09,253.85,255.05,251.95,254.4,5591.0,5618.5,5551.0,5604.0,345793.0,31370.0,45470.0,45770.0,45090.0,45260.0,482970.0,201880.0,0,0,1
2017-01-10,261.25,263.0,253.0,253.2,5758.0,5779.0,5573.5,5590.0,347655.0,67904.0,45780.0,46270.0,45350.0,45530.0,493666.0,310498.0,1,1,1
2017-01-11,261.05,263.1,259.7,260.95,5714.0,5788.5,5711.5,5756.0,347022.0,36022.0,46950.0,47260.0,46340.0,46340.0,504168.0,371356.0,1,0,1
2017-01-12,267.15,267.55,260.0,260.2,5842.0,5884.0,5725.0,5726.0,345188.0,51073.0,46990.0,47200.0,46750.0,46950.0,493754.0,289596.0,1,1,1
2017-01-13,269.0,271.6,264.2,266.7,5909.0,5917.0,5808.5,5860.0,350739.0,43116.0,47500.0,47810.0,47110.0,47110.0,489208.0,362068.0,1,1,1
2017-01-16,264.9493572313752,267.8276216405199,263.32010661810773,267.73745818955956,5865.0,5930.0,5832.0,5929.0,349291.0,27386.0,47900.0,48390.0,47230.0,47420.0,500390.0,355334.0,0,0,1
2017-01-17,262.5,271.25,260.45,270.1,5754.0,5855.0,5727.5,5850.0,338718.0,45473.0,47300.0,48150.0,46650.0,48010.0,470464.0,53446.0,0,0,0
2017-01-18,261.65,263.05,260.7,261.8,5769.0,5788.0,5735.0,5766.5,333619.0,28934.0,46620.0,47150.0,46060.0,46940.0,455398.0,60138.0,0,1,0
2017-01-19,261.05,263.4,258.15,261.45,5739.5,5793.5,5668.0,5760.0,331812.0,38286.0,46730.0,46980.0,46410.0,46630.0,454514.0,41008.0,0,0,1
2017-01-20,262.5,264.5,258.75,261.2,5748.0,5813.5,5693.0,5746.0,330682.0,33636.0,46490.0,46820.0,46100.0,46710.0,434922.0,48660.0,1,1,0
2017-01-23,264.75,266.8,261.3,262.1,5795.0,5860.0,5759.0,5760.0,330513.0,27159.0,46890.0,47370.0,46250.0,46380.0,438680.0,52484.0,1,1,1
2017-01-24,270.85,271.55,263.95,264.7,5943.0,5956.5,5803.0,5807.5,329173.0,50670.0,47030.0,47320.0,46610.0,46890.0,439608.0,44760.0,1,1,1
2017-01-25,271.0,273.2,268.5,270.8,5942.0,5973.0,5886.5,5951.0,329119.0,46898.0,47750.0,47980.0,47500.0,47570.0,447972.0,52854.0,1,0,1
2017-01-26,267.3,273.0,265.05,271.45,5857.0,5981.5,5819.0,5953.0,328493.0,35163.0,47930.0,48280.0,47550.0,47600.0,444618.0,61178.0,0,0,1
2017-01-27,268.95,269.65,265.45,266.1,5899.0,5903.0,5825.0,5831.0,327410.0,22294.0,45898.21543927736,45839.245732337295,45413.563025287425,45356.18171258466,444495.43784470094,64344.22000835163,1,1,1
2017-01-30,265.5,270.45,263.4,269.45,5820.0,5912.0,5785.0,5901.5,326519.0,24130.0,45283.541931953594,45909.13446884264,45101.71023198073,45904.562918336196,444490.9591679235,61528.881286009484,0,0,0
2017-01-31,272.75,273.75,265.95,267.0,5991.0,5998.5,5837.5,5854.0,325303.0,41876.0,46614.03775160378,46580.842880810655,45511.01702319577,45535.08621942558,444490.79550773307,60447.44438686527,1,1,1
2017-02-01,271.15,273.8,270.4,272.9,5945.0,6007.0,5931.0,5976.0,322435.0,32600.0,46256.12659544057,46646.84890973236,46239.97292755017,46484.05795136441,444490.78952724836,60961.22021209835,0,0,0
2017-02-02,268.55,272.4,266.4,271.35,5886.0,5976.0,5853.0,5963.0,323149.0,37079.0,45797.06663427471,46406.121039547295,45631.859980602116,46382.938012715196,444490.789308709,60426.68075102663,0,0,0
2017-02-03,261.6,269.4,261.2,268.25,5772.0,5912.5,5755.0,5910.0,324449.0,57123.0,47060.0,47800.0,46650.0,47790.0,445440.0,64984.0,0,0,0
2017-02-06,265.15,265.7,261.5,261.95,5846.0,5855.0,5765.0,5765.0,324214.0,35021.0,46740.0,47090.0,46420.0,46940.0,454924.0,79886.0,1,1,0
2017-02-07,263.2,265.65,262.35,264.9,5795.0,5854.0,5782.5,5843.0,321913.0,29963.0,46950.0,47190.0,46700.0,46790.0,458328.0,66358.0,0,0,1
2017-02-08,266.65,269.1,263.2,263.85,5895.0,5925.0,5802.0,5805.5,313607.0,43848.0,47360.0,47840.0,46700.0,46910.0,477636.0,117574.0,1,1,1
2017-02-09,265.35,267.65,264.1,266.6,5822.0,5894.0,5814.5,5876.0,313142.0,39121.0,47680.0,47950.0,47370.0,47710.0,483040.0,108768.0,0,0,0
2017-02-10,276.8,279.1,263.65,265.65,6090.0,6095.0,5810.0,5837.5,316306.0,92223.0,47570.0,48050.0,47120.0,47620.0,511222.0,213852.0,1,1,0
2017-02-13,278.3,282.3,276.95,277.65,6106.0,6204.0,6086.5,6090.0,319268.0,73057.0,49550.0,50620.0,47780.0,47800.0,597682.0,616476.0,1,1,1
2017-02-14,273.7,281.45,271.35,278.55,6021.0,6190.0,5981.5,6120.0,316122.0,69296.0,49940.0,50250.0,49660.0,49820.0,613308.0,347374.0,0,0,1
2017-02-15,274.05,275.65,271.95,274.3,6067.0,6074.5,5992.0,6026.5,315722.0,52187.0,49120.0,50290.0,48290.0,50090.0,564448.0,512812.0,0,1,0
2017-02-16,271.85,276.3,269.35,274.1,6000.0,6098.0,5957.0,6051.5,318338.0,61391.0,49140.0,49550.0,48690.0,48910.0,546370.0,89842.0,0,0,1
2017-02-17,270.7,273.5,267.8,271.05,5960.0,6038.0,5920.0,5984.0,316500.0,46335.0,48780.0,49120.0,48360.0,48890.0,542464.0,82658.0,0,0,0
2017-02-20,274.2101617040831,275.7314721948354,269.0091212672644,269.92758582022134,6070.0,6105.0,5958.0,5977.5,315194.0,31695.0,48600.0,49010.0,48130.0,48490.0,546626.0,73576.0,1,1,1
2017-02-21,274.55,275.85,270.0,270.7,6060.0,6093.0,6031.0,6070.5,314244.0,36052.0,49200.0,49520.0,48920.0,49070.0,544616.0,92118.0,1,0,1
2017-02-22,273.3,274.95,271.0,274.2,6040.0,6066.5,5986.0,6053.0,312280.0,36712.0,49070.0,49380.0,48700.0,49170.0,543932.0,71136.0,0,0,0
2017-02-23,264.35,273.85,263.7,273.65,5859.0,6042.0,5838.5,6042.0,315658.0,57655.0,48750.0,49150.0,48360.0,48740.0,540832.0,71966.0,0,0,1
2017-02-24,268.0,269.1,263.75,263.75,5928.0,5956.0,5845.0,5854.0,314657.0,47816.0,47950.0,48880.0,47310.0,48850.0,527974.0,129564.0,1,1,0
2017-02-27,268.75,269.1,265.2,267.3,5934.0,5954.5,5877.0,5934.5,311414.0,34430.0,48080.0,48470.0,47600.0,47900.0,518148.0,107564.0,1,0,1
2017-02-28,270.4,271.05,266.9,268.3,5973.0,5994.5,5898.5,5932.0,311570.0,39188.0,48020.0,48290.0,47650.0,48120.0,520720.0,100866.0,1,1,0
2017-03-01,272.65,275.5,270.3,270.5,6016.0,6090.0,5955.0,5982.0,316918.0,55379.0,48510.0,48970.0,47870.0,48030.0,527792.0,148992.0,1,1,1
2017-03-02,267.95,272.9,267.3,272.4,5930.0,6035.5,5908.5,6020.0,318444.0,39997.0,48910.0,49280.0,48520.0,48940.0,535318.0,108902.0,0,0,0
2017-03-03,268.7,269.8,267.0,267.8,5917.0,5958.5,5901.0,5918.0,318405.0,29953.0,48370.0,48690.0,48080.0,48650.0,534614.0,131508.0,1,0,0
2017-03-06,264.3,268.9,263.9,268.9,5858.0,5950.0,5835.0,5934.5,319900.0,38867.0,48360.0,48660.0,47930.0,48350.0,546892.0,138358.0,0,0,1
2017-03-07,260.95,265.45,259.65,265.45,5773.0,5876.0,5759.0,5855.5,320666.0,47829.0,47850.0,48000.0,47610.0,47960.0,547820.0,107360.0,0,0,0
2017-03-08,259.2,262.35,258.3,260.6,5765.5,5816.5,5731.0,5773.5,321865.0,39259.0,47410.0,47840.0,47100.0,47610.0,542600.0,196618.0,0,0,0
2017-03-09,257.0,258.35,255.0,257.6,5690.0,5743.5,5652.0,5741.5,324527.0,55305.0,46970.0,47590.0,46480.0,47400.0,545756.0,231422.0,0,0,0
2017-03-10,258.65,259.85,256.65,256.65,5732.0,5778.0,5687.5,5692.5,325060.0,45523.0,46560.0,46830.0,46140.0,46300.0,545504.0,207214.0,1,1,1
2017-03-13,261.65,262.75,258.85,259.0,5796.0,5824.0,5743.0,5749.0,323319.0,33148.0,47020.0,47560.0,46530.0,46800.0,543342.0,328654.0,1,1,1
2017-03-14,262.4,263.5,260.0,261.15,5820.0,5843.0,5735.0,5795.5,321139.0,36187.0,47360.0,47580.0,47190.0,47500.0,541456.0,211346.0,1,1,0
2017-03-15,264.55,266.6,264.1,265.2,5864.0,5901.0,5814.5,5835.5,321436.0,30498.0,47440.0,47800.0,46820.0,47150.0,545990.0,307966.0,0,1,1
2017-03-16,266.55,268.3,266.2,267.55,5909.0,5948.5,5889.0,5895.0,321028.0,36043.0,48160.0,48400.0,47890.0,47930.0,519770.0,46252.0,0,1,1
2017-03-17,267.95,268.3,264.8,266.0,5935.0,5945.0,5863.0,5899.5,320424.0,27450.0,48090.0,48460.0,47820.0,48360.0,517094.0,32602.0,1,1,0
2017-03-20,265.55,267.9,264.5,267.9,5880.0,5950.0,5850.0,5918.5,321151.0,30283.0,48220.0,48430.0,48020.0,48060.0,518982.0,38266.0,0,0,1
2017-03-21,261.0,264.2,259.75,264.2,5776.0,5870.0,5761.0,5866.0,318053.0,59282.0,47760.0,48550.0,47200.0,48130.0,515298.0,60682.0,0,0,0
2017-03-22,262.2,262.7,258.2,260.0,5808.0,5838.0,5715.0,5768.5,318338.0,42516.0,46990.0,47650.0,46560.0,47280.0,529182.0,73688.0,1,1,0
2017-03-23,263.65,264.3,260.95,262.2,5825.0,5855.0,5768.0,5834.0,321815.0,39418.0,47110.0,47480.0,46630.0,46870.0,528820.0,62394.0,1,0,1
2017-03-24,262.35,263.35,261.35,263.0,5804.0,5840.0,5776.5,5839.5,321254.0,24966.0,47170.0,47470.0,46870.0,47270.0,529468.0,64620.0,0,0,0
2017-03-27,262.5,262.6,256.2,259.6,5760.0,5810.0,5671.0,5800.0,321644.0,55633.0,46620.0,47380.0,46250.0,47170.0,546726.0,96718.0,1,0,0
2017-03-28,266.9,266.2,262.15,262.25,5873.0,5903.0,5769.0,5799.0,322488.0,44450.0,46520.0,47170.0,45770.0,46300.0,534180.0,131278.0,1,1,1
2017-03-29,267.0,267.35,265.45,266.75,5907.0,5927.5,5865.0,5891.0,326165.0,44808.0,47440.0,47820.0,46840.0,46980.0,533480.0,114098.0,1,1,1
2017-03-30,267.15,271.7,265.35,267.3,5956.0,5985.0,5851.0,5899.5,329230.0,47860.0,47610.0,47970.0,47370.0,47640.0,527366.0,91012.0,0,1,0
2017-03-31,265.25,268.05,263.15,267.7,5837.5,5915.0,5810.5,5886.5,331879.0,43362.0,48000.0,48550.0,47590.0,47630.0,527518.0,155576.0,0,0,1
2017-04-03,260.35,266.05,260.2,265.35,5753.0,5872.0,5749.0,5847.0,331976.0,32242.0,44762.236552324575,45598.51786215223,44821.042718004705,45480.637021691386,527523.5543970201,145276.33161356382,0,0,0
2017-04-04,261.2,262.1,259.4,260.4,5779.5,5783.0,5730.0,5759.5,333290.0,25134.0,44968.42450098381,44907.39591226607,44672.912641184026,44800.02205001395,527523.7573662718,139309.1591961062,1,1,1
2017-04-05,268.0,269.5,261.35,262.0,5895.0,5944.0,5778.0,5784.5,333331.0,65356.0,47500.0,47820.0,47170.0,47240.0,526598.0,89788.0,1,1,1
2017-04-06,265.8,268.9,264.85,267.6,5858.0,5932.0,5848.0,5901.0,334174.0,34787.0,48120.0,48490.0,47850.0,47990.0,546178.0,160926.0,0,0,1
2017-04-07,264.7,267.1,260.4,265.85,5834.0,5895.5,5752.0,5857.0,333982.0,49656.0,47790.0,48400.0,47090.0,48050.0,561994.0,269472.0,0,0,0
2017-04-10,260.4,264.55,259.9,264.35,5747.0,5832.0,5742.0,5826.5,332083.0,37272.0,47290.0,47700.0,46820.0,46970.0,559466.0,204850.0,0,0,1
2017-04-11,260.8,262.4,258.3,260.7,5767.0,5792.0,5710.0,5746.5,333542.0,47796.0,46860.0,47240.0,46650.0,47170.0,580082.0,251984.0,1,1,0
2017-04-12,254.5,261.0,253.45,260.95,5628.0,5768.5,5615.0,5759.5,337001.0,80137.0,46630.0,47090.0,46150.0,46800.0,594020.0,447660.0,0,0,0
2017-04-13,257.05,258.9,253.75,253.8,5692.0,5732.5,5624.5,5625.0,337860.0,45960.0,46040.0,46550.0,45520.0,46070.0,585208.0,511384.0,1,1,0
2017-04-14,268.38045328679607,270.9112458547347,265.60815579321456,268.2791133219997,5941.287729601824,5998.587863337806,5883.012283113406,5941.335000632009,337872.98875319876,49722.45800191191,46160.0,46520.0,45800.0,46150.0,593530.0,315686.0,1,0,1
